Potential - Start -0.2 V, Upper Vertex 1.5 V, Lower Vertex -0.2 V, Stop -0.19 V; Scan - # end cross 5, Rate 0.1 Vps, Step 0.01 V 
Scan	Index	Time (s)	Potential applied (V)	WE(1).Potential (V)	WE(1).Current (A)	WE(1).Power (W)	WE(1).Resistance (Ω)	WE(1).Charge (C)
1	1	74.4017218121537	-0.189971923828125	-0.189910888671875	-1.58081054687501E-07	3.00213116588566E-08	1201351.375	0
1	2	74.5024298118994	-0.179901123046875	-0.179779052734375	-1.2786865234375E-07	2.29881038649182E-08	1405966.625	-1.43987106682175E-08
1	3	74.6031378116452	-0.169830322265625	-0.169677734375	-1.03759765625E-07	1.76057213252534E-08	1635294.25	-2.60621284553508E-08
1	4	74.7038458113909	-0.159759521484375	-0.15966796875	-8.42285156249997E-08	1.34485951264196E-08	1895652.25	-3.55280889152709E-08
1	5	74.8045538111367	-0.149688720703125	-0.149566650390625	-6.68334960937503E-08	9.99606175611234E-09	2237899.75	-4.31346656171172E-08
1	6	74.9052618108824	-0.139617919921875	-0.1395263671875	-5.12695312500006E-08	7.15345116475419E-09	2721428.5	-4.90816240983349E-08
1	7	75.0059698106281	-0.129547119140625	-0.129425048828125	-3.69262695312497E-08	4.77918415953127E-09	3504958.75	-5.35226369891006E-08
1	8	75.1066778103739	-0.119476318359375	-0.119415283203125	-2.34985351562494E-08	2.80608425384798E-09	5081818.5	-5.65652662487537E-08
1	9	75.2073858101196	-0.109405517578125	-0.109344482421875	-1.068115234375E-08	1.16792497895091E-09	10237143	-5.82863499687392E-08
1	10	75.3080938098653	-0.099334716796875	-0.099273681640625	3.35693359374972E-09	-3.33255145701372E-10	-29572728	-5.86551536230218E-08
1	11	75.4088018096111	-0.089263916015625	-0.089263916015625	1.77001953125006E-08	-1.57998869543263E-09	-5043103.5	-5.75948426728701E-08
1	12	75.5095098093568	-0.079193115234375	-0.07916259765625	3.38745117187497E-08	-2.68159427996295E-09	-2336937	-5.49978516062311E-08
1	13	75.6102178091026	-0.069122314453125	-0.069061279296875	5.31005859375003E-08	-3.66719432598472E-09	-1300574.75	-5.0618307767536E-08
1	14	75.7109258088483	-0.059051513671875	-0.0589599609375	7.56835937500006E-08	-4.4623016393075E-09	-779032.25	-4.41335075151983E-08
1	15	75.811633808594	-0.048980712890625	-0.048858642578125	1.0528564453125E-07	-5.14411357954714E-09	-464057.96875	-3.50209852229E-08
1	16	75.9123418083398	-0.038909912109375	-0.038751220703125	1.434326171875E-07	-5.55818902014948E-09	-270170.21875	-2.24970246875955E-08
1	17	76.0130498080855	-0.028839111328125	-0.0287445068359375	1.95922851562499E-07	-5.63170576839411E-09	-146713.40625	-5.40911937463306E-09
1	18	76.1137578078312	-0.018768310546875	-0.0186553955078125	2.655029296875E-07	-4.95306196057754E-09	-70264.3671875	1.78255152860629E-08
1	19	76.214465807577	-0.008697509765625	-0.00860595703125	3.59191894531249E-07	-3.09118997066093E-09	-23959.21875	4.92813967412076E-08
1	20	76.3151738073227	0.001373291015625	0.0014312744140625	4.81567382812501E-07	6.89255097441333E-10	2972.11669921875	9.16169895504026E-08
1	21	76.4158818070684	0.011444091796875	0.0115264892578125	6.3507080078125E-07	7.32013649695773E-09	18149.9296875	1.47844190223623E-07
1	22	76.5165898068142	0.021514892578125	0.021588134765625	8.1817626953125E-07	1.76629004755569E-08	26385.677734375	2.21020982849041E-07
1	23	76.6172978065599	0.031585693359375	0.031671142578125	1.02294921875E-06	3.23979705285637E-08	30960.623046875	3.13729003664776E-07
1	24	76.7180058063057	0.041656494140625	0.0417388916015625	1.23565673828125E-06	5.15749363216855E-08	33778.7109375	4.2745884343276E-07
1	25	76.8187138060514	0.051727294921875	0.05181884765625	1.4349365234375E-06	7.43567554195579E-08	36112.29296875	5.61933916287671E-07
1	26	76.9194218057971	0.061798095703125	0.06182861328125	1.6033935546875E-06	9.91355975088482E-08	38561.09765625	7.14925988631876E-07
1	27	77.0201298055429	0.071868896484375	0.071807861328125	1.72393798828125E-06	1.23792304407289E-07	41653.390625	8.82470430951798E-07
1	28	77.1208378052886	0.081939697265625	0.082000732421875	1.79107666015625E-06	1.46869595596399E-07	45782.92578125	1.05946548956126E-06
1	29	77.2215458050343	0.092010498046875	0.092071533203125	1.80816650390625E-06	1.66480660368507E-07	50919.83203125	1.24070174933877E-06
1	30	77.3222538047801	0.102081298828125	0.10211181640625	1.78680419921875E-06	1.82453817387795E-07	57147.73828125	1.42172291361931E-06
1	31	77.4229618045258	0.112152099609375	0.112152099609375	1.73980712890625E-06	1.95123021740073E-07	64462.375	1.59930186782731E-06
1	32	77.5236698042715	0.122222900390625	0.122283935546875	1.67938232421875E-06	2.05361473604171E-07	72814.828125	1.77147171598335E-06
1	33	77.6243778040173	0.132293701171875	0.132293701171875	1.61376953125E-06	2.13491546219302E-07	81978.0625	1.93729511011043E-06
1	34	77.725085803763	0.142364501953125	0.14239501953125	1.549072265625E-06	2.20580162135775E-07	91922.78125	2.09655695471156E-06
1	35	77.8257938035088	0.152435302734375	0.1524658203125	1.48834228515625E-06	2.26921329726792E-07	102440.0234375	2.24950281335623E-06
1	36	77.9265018032545	0.162506103515625	0.16253662109375	1.431884765625E-06	2.32733697203003E-07	113512.3671875	2.3965478703758E-06
1	37	78.0272098030002	0.172576904296875	0.172607421875	1.380615234375E-06	2.3830443751649E-07	125022.1015625	2.53816847362032E-06
1	38	78.127917802746	0.182647705078125	0.1826171875	1.33514404296875E-06	2.43820238665649E-07	136777.140625	2.67491782324214E-06
1	39	78.2286258024917	0.192718505859375	0.1927490234375	1.29425048828125E-06	2.49465500701262E-07	148927.15625	2.80731842394744E-06
1	40	78.3293338022374	0.202789306640625	0.202880859375	1.25732421875E-06	2.55087030609502E-07	161359.21875	2.93580046673014E-06
1	41	78.4300418019832	0.212860107421875	0.212860107421875	1.22528076171875E-06	2.60813379782121E-07	173723.546875	3.06080960399413E-06
1	42	78.5307498017289	0.222930908203125	0.222900390625	1.19598388671875E-06	2.66585260533247E-07	186374.078125	3.18272986987722E-06
1	43	78.6314578014747	0.233001708984375	0.23297119140625	1.17095947265625E-06	2.72799809408752E-07	198957.53125	3.30191483044473E-06
1	44	78.7321658012204	0.243072509765625	0.2430419921875	1.14776611328125E-06	2.7895535481548E-07	211752.203125	3.41867212227953E-06
1	45	78.8328738009661	0.253143310546875	0.253173828125	1.12640380859375E-06	2.85175957515094E-07	224762.953125	3.53318546331138E-06
1	46	78.9335818007119	0.263214111328125	0.26312255859375	1.1065673828125E-06	2.91162820076352E-07	237782.703125	3.64562470167584E-06
1	47	79.0342898004576	0.273284912109375	0.273223876953125	1.08856201171875E-06	2.9742110996267E-07	250995.25	3.75615809389274E-06
1	48	79.1349978002033	0.283355712890625	0.283355712890625	1.0723876953125E-06	3.03867182083195E-07	264228.8125	3.8649704947602E-06
1	49	79.2357057999491	0.293426513671875	0.29339599609375	1.05682373046875E-06	3.10067861164498E-07	277620.5625	3.97218491343665E-06
1	50	79.3364137996948	0.303497314453125	0.303497314453125	1.04278564453125E-06	3.16482612561231E-07	291044.78125	4.07790867029689E-06
1	51	79.4371217994405	0.313568115234375	0.313629150390625	1.0296630859375E-06	3.22932351082272E-07	304593.96875	4.18226454712567E-06
