Potential - Start -0.205 V, Stop 1.505 V, Step 0.005 V; Modulation - Amplitude 0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	148.69550662458	-0.204925537109375		-3.369140625E-07	4.29382324218749E-07	7.6629638671875E-07	6.9011448999845E-08	607971.0625	0
2	148.745506624454	-0.19989013671875		-5.87158203125E-07	3.9215087890625E-07	9.7930908203125E-07	1.17313376790662E-07	340280.6875	-2.31018049134946E-08
3	148.795506624327	-0.194854736328125		-5.9051513671875E-07	3.955078125E-07	9.8602294921875E-07	1.14974561427061E-07	329715.78125	-5.25436369969157E-08
4	148.845506624201	-0.1898193359375		-5.81970214843749E-07	4.05273437500001E-07	9.8724365234375E-07	1.1038039815503E-07	325904.5625	-8.18557737147785E-08
5	148.895506624075	-0.184783935546875		-5.7220458984375E-07	4.15954589843751E-07	9.88159179687501E-07	1.05646897452516E-07	322666.6875	-1.10710139722414E-07
6	148.945506623949	-0.17974853515625		-5.615234375E-07	4.2755126953125E-07	9.8907470703125E-07	1.00847337591858E-07	319836.9375	-1.39053341285944E-07
7	148.995506623823	-0.174713134765625		-5.51757812500001E-07	4.39453125E-07	9.91210937500001E-07	9.63319806146501E-08	316427	-1.66885371299941E-07
8	149.045506623696	-0.169677734375		-5.4290771484375E-07	4.50744628906249E-07	9.9365234375E-07	9.20862106568165E-08	312422.71875	-1.94252010032869E-07
9	149.09550662357	-0.164642333984375		-5.34667968749999E-07	4.6356201171875E-07	9.9822998046875E-07	8.79800268194231E-08	307762.5625	-2.21191399418785E-07
10	149.145506623444	-0.15960693359375		-5.27038574218749E-07	4.7576904296875E-07	1.0028076171875E-06	8.40546690028532E-08	302605.6875	-2.47734050162762E-07
11	149.195506623318	-0.154571533203125		-5.19714355468751E-07	4.88891601562499E-07	1.00860595703125E-06	8.03013193717561E-08	297298.90625	-2.73902884373456E-07
12	149.245506623191	-0.1495361328125		-5.13610839843751E-07	5.02624511718749E-07	1.0162353515625E-06	7.67876997542771E-08	291087.34375	-2.99736001352358E-07
13	149.295506623065	-0.144500732421875		-5.0811767578125E-07	5.1727294921875E-07	1.025390625E-06	7.33458378476826E-08	284084.09375	-3.25279216895069E-07
14	149.345506622939	-0.13946533203125		-5.035400390625E-07	5.3253173828125E-07	1.03607177734375E-06	7.01649085499412E-08	276727.28125	-3.50570672935646E-07
15	149.395506622813	-0.134429931640625		-4.99572753906249E-07	5.5084228515625E-07	1.0504150390625E-06	6.70965505378263E-08	268845.4375	-3.75648482986435E-07
16	149.445506622686	-0.12939453125		-4.9591064453125E-07	5.706787109375E-07	1.06658935546875E-06	6.41378576915486E-08	260800.015625	-4.00535583366946E-07
17	149.49550662256	-0.124359130859375		-4.9407958984375E-07	5.92041015625E-07	1.08612060546875E-06	6.14282313904368E-08	251636.8125	-4.25285321625779E-07
18	149.545506622434	-0.11932373046875		-4.931640625E-07	6.1676025390625E-07	1.10992431640625E-06	5.87859751988162E-08	241707.921875	-4.49966421456338E-07
19	149.595506622308	-0.114288330078125		-4.931640625E-07	6.44836425781251E-07	1.13800048828125E-06	5.63327979818951E-08	231621.28125	-4.74624613389096E-07
20	149.645506622181	-0.1092529296875		-4.94995117187499E-07	6.77490234375E-07	1.1724853515625E-06	5.40796669667998E-08	220715.171875	-4.99328621117456E-07
21	149.695506622055	-0.104217529296875		-4.9896240234375E-07	7.15026855468751E-07	1.2139892578125E-06	5.20006260273931E-08	208868.515625	-5.24177551142202E-07
22	149.745506621929	-0.09918212890625		-5.0506591796875E-07	7.55920410156249E-07	1.260986328125E-06	5.00780963363923E-08	196314.21875	-5.49278240669082E-07
23	149.795506621803	-0.094146728515625		-5.145263671875E-07	8.0596923828125E-07	1.32049560546875E-06	4.84095679098573E-08	182858.84375	-5.74768023398065E-07
24	149.845506621676	-0.089111328125		-5.25817871093751E-07	8.642578125E-07	1.39007568359375E-06	4.68563285949131E-08	169471.84375	-6.00776672854408E-07
25	149.89550662155	-0.084075927734375		-5.3985595703125E-07	9.33227539062501E-07	1.47308349609375E-06	4.53559394486547E-08	155624.65625	-6.27418501153443E-07
26	149.945506621424	-0.07904052734375		-5.5755615234375E-07	1.0113525390625E-06	1.56890869140625E-06	4.4052512748749E-08	141707.71875	-6.54853806736355E-07
27	149.995506621298	-0.074005126953125		-5.7952880859375E-07	1.10260009765625E-06	1.68212890625E-06	4.28881001823811E-08	127698.796875	-6.83280916291551E-07
28	150.045506621172	-0.0689697265625		-6.0577392578125E-07	1.2066650390625E-06	1.81243896484375E-06	4.17800585239547E-08	113853.9140625	-7.12913504230528E-07
29	150.095506621045	-0.063934326171875		-6.36901855468749E-07	1.326904296875E-06	1.96380615234375E-06	4.07393265788869E-08	100431.2421875	-7.43980365314201E-07
30	150.145506620919	-0.05889892578125		-6.7413330078125E-07	1.4617919921875E-06	2.13592529296875E-06	3.96851511652585E-08	87324.5859375	-7.76756280629343E-07
31	150.195506620793	-0.053863525390625		-7.1685791015625E-07	1.6131591796875E-06	2.33001708984375E-06	3.85906169242389E-08	75095.7890625	-8.11531037925306E-07
32	150.245506620667	-0.048828125		-7.6324462890625E-07	1.78192138671875E-06	2.545166015625E-06	3.71629873541224E-08	63794.484375	-8.48533602493262E-07
33	150.29550662054	-0.043792724609375		-8.197021484375E-07	1.96685791015625E-06	2.78656005859375E-06	3.57794185390503E-08	53250.19140625	-8.88107251739712E-07
34	150.345506620414	-0.03875732421875		-8.7921142578125E-07	2.1673583984375E-06	3.04656982421875E-06	3.39470886956406E-08	43915.3046875	-9.30580085878319E-07
35	150.395506620288	-0.033721923828125		-9.429931640625E-07	2.38189697265625E-06	3.32489013671875E-06	3.16815551570926E-08	35627.83203125	-9.76135197561234E-07
36	150.445506620162	-0.0286865234375		-1.00982666015625E-06	2.608642578125E-06	3.61846923828125E-06	2.88513088975151E-08	28292.537109375	-1.02495573628403E-06
37	150.495506620035	-0.023651123046875		-1.07666015625E-06	2.84332275390625E-06	3.91998291015625E-06	2.53065088884341E-08	21831.06640625	-1.07711787222797E-06
38	150.545506619909	-0.01861572265625		-1.14288330078125E-06	3.0828857421875E-06	4.22576904296875E-06	2.1118648163565E-08	16168.2236328125	-1.13260648504365E-06
39	150.595506619783	-0.013580322265625		-1.20269775390625E-06	3.32366943359375E-06	4.5263671875E-06	1.6208231201631E-08	11205.2783203125	-1.19124604225362E-06
40	150.645506619657	-0.008544921875		-1.2548828125E-06	3.560791015625E-06	4.815673828125E-06	1.06118172027436E-08	6738.8134765625	-1.252685478903E-06
41	150.69550661953	-0.003509521484375		-1.2957763671875E-06	3.78753662109375E-06	5.08331298828125E-06	4.40519665190209E-09	2623.64599609375	-1.31645197143371E-06
42	150.745506619404	0.00152587890625		-1.3214111328125E-06	4.00421142578125E-06	5.32562255859375E-06	-2.14535744724742E-09	-1228.63745117188	-1.38188170240028E-06
43	150.795506619278	0.006561279296875		-1.32293701171875E-06	4.1973876953125E-06	5.52032470703125E-06	-8.77705375046389E-09	-5014.994140625	-1.44799037116172E-06
44	150.845506619152	0.0115966796875		-1.309814453125E-06	4.364013671875E-06	5.673828125E-06	-1.52414614262852E-08	-8883.970703125	-1.51380913848698E-06
45	150.895506619025	0.016632080078125		-1.27655029296875E-06	4.5013427734375E-06	5.77789306640625E-06	-2.12862278914372E-08	-13062.396484375	-1.57846830006747E-06
46	150.945506618899	0.02166748046875		-1.2213134765625E-06	4.60205078125E-06	5.8233642578125E-06	-2.65447841485411E-08	-17796.1015625	-1.64091488841223E-06
47	150.995506618773	0.026702880859375		-1.14532470703125E-06	4.669189453125E-06	5.81451416015625E-06	-3.06708471953243E-08	-23381.296875	-1.70008081568085E-06
48	151.045506618647	0.03173828125		-1.0528564453125E-06	4.6966552734375E-06	5.74951171875E-06	-3.34608358798505E-08	-30185.5078125	-1.75503532773291E-06
49	151.095506618521	0.036773681640625		-9.429931640625E-07	4.681396484375E-06	5.6243896484375E-06	-3.47118636057075E-08	-39035.59765625	-1.80493157131423E-06
50	151.145506618394	0.04180908203125		-8.18786621093751E-07	4.6295166015625E-06	5.44830322265625E-06	-3.43126735913302E-08	-51181.51171875	-1.84897612598434E-06
51	151.195506618268	0.046844482421875		-6.8359375E-07	4.5379638671875E-06	5.2215576171875E-06	-3.20976951684315E-08	-68687.5	-1.88653564237029E-06
52	151.245506618142	0.0518798828125		-5.4473876953125E-07	4.4189453125E-06	4.96368408203125E-06	-2.82942327345381E-08	-95350.140625	-1.91724393516779E-06
53	151.295506618016	0.056915283203125		-3.948974609375E-07	4.2755126953125E-06	4.67041015625E-06	-2.24877521048938E-08	-144204.015625	-1.94073481907253E-06
54	151.345506617889	0.06195068359375		-2.46276855468749E-07	4.1107177734375E-06	4.35699462890625E-06	-1.52645345252722E-08	-251672.875	-1.95676420844393E-06
55	151.395506617763	0.066986083984375		-9.918212890625E-08	3.93524169921875E-06	4.034423828125E-06	-6.64684884910116E-09	-675692.3125	-1.96540054275829E-06
56	151.445506617637	0.072021484375		4.24194335937503E-08	3.75457763671875E-06	3.712158203125E-06	3.05640512898719E-09	1698561.125	-1.96681980924041E-06
57	151.495506617511	0.077056884765625		1.7669677734375E-07	3.5736083984375E-06	3.39691162109375E-06	1.36318796251089E-08	436614.875	-1.96134169527795E-06
58	151.545506617384	0.08209228515625		3.021240234375E-07	3.39630126953125E-06	3.09417724609375E-06	2.48112712597504E-08	271818.1875	-1.94937138076057E-06
59	151.595506617258	0.087127685546875		4.15649414062499E-07	3.22723388671875E-06	2.81158447265625E-06	3.62145691212845E-08	209618.21875	-1.93142705029459E-06
60	151.645506617132	0.0921630859375		5.16357421875E-07	3.06884765625E-06	2.552490234375E-06	4.75890935547341E-08	178487	-1.90812670552987E-06
61	151.695506617006	0.097198486328125		6.04248046875E-07	2.9217529296875E-06	2.3175048828125E-06	5.87688759878802E-08	160959.59375	-1.88011165391799E-06
62	151.745506616879	0.10223388671875		6.793212890625E-07	2.786865234375E-06	2.1075439453125E-06	6.94911150844746E-08	150584.015625	-1.84802240710269E-06
63	151.795506616753	0.107269287109375		7.4188232421875E-07	2.66387939453125E-06	1.9219970703125E-06	7.95811914144906E-08	144590.703125	-1.8124923144569E-06
64	151.845506616627	0.1123046875		7.92236328125E-07	2.552490234375E-06	1.76025390625E-06	8.89234996748201E-08	141679.5	-1.77413937763049E-06
65	151.895506616501	0.117340087890625		8.331298828125E-07	2.45269775390625E-06	1.61956787109375E-06	9.77595320250657E-08	140842.484375	-1.73350520071835E-06
66	151.945506616374	0.12237548828125		8.648681640625E-07	2.362060546875E-06	1.4971923828125E-06	1.05865055388676E-07	141531.40625	-1.69105521763413E-06
67	151.995506616248	0.127410888671875		8.880615234375E-07	2.281494140625E-06	1.3934326171875E-06	1.13148701075261E-07	143470.796875	-1.64723201123707E-06
68	152.045506616122	0.1324462890625		9.03930664062499E-07	2.2088623046875E-06	1.304931640625E-06	1.19722258773436E-07	146522.625	-1.60243223490397E-06
69	152.095506615996	0.137481689453125		9.14611816406249E-07	2.1435546875E-06	1.22894287109375E-06	1.25686554497406E-07	150250.25	-1.55696864112542E-06
70	152.14550661587	0.14251708984375		9.2041015625E-07	2.0849609375E-06	1.16455078125E-06	1.31174175521664E-07	154840.859375	-1.51109304624697E-06
71	152.195506615743	0.147552490234375		9.22546386718751E-07	2.03216552734375E-06	1.109619140625E-06	1.36152166874126E-07	159973.546875	-1.46501918152353E-06
72	152.245506615617	0.152587890625		9.21020507812501E-07	1.98516845703125E-06	1.06414794921875E-06	1.4056467989576E-07	165705.765625	-1.418929969077E-06
73	152.295506615491	0.157623291015625		9.17968750000001E-07	1.9427490234375E-06	1.0247802734375E-06	1.44693260040185E-07	171708.78125	-1.37295523927605E-06
74	152.345506615365	0.16265869140625		9.1278076171875E-07	1.9036865234375E-06	9.90905761718751E-07	1.48471727356991E-07	178201.265625	-1.32718651002506E-06
75	152.395506615238	0.167694091796875		9.0606689453125E-07	1.8682861328125E-06	9.62219238281249E-07	1.5202500946998E-07	185180.203125	-1.28171529922838E-06
76	152.445506615112	0.1727294921875		8.9874267578125E-07	1.83563232421875E-06	9.368896484375E-07	1.55266789647612E-07	192224.109375	-1.23659515338659E-06
77	152.495506614986	0.177764892578125		8.9080810546875E-07	1.80572509765625E-06	9.14916992187499E-07	1.58435966568504E-07	199657.421875	-1.19185631319851E-06
