Potential - Start 1.505 V, Stop -0.205 V, Step -0.005 V; Modulation - Amplitude -0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	172.068767565568	1.50497436523438	1.50482177734375	8.32519531250001E-07	3.61022949218751E-07	-4.7149658203125E-07	1.25279348139884E-06	1807551.375	0
2	172.118767565442	1.49993896484375	1.49993896484375	9.6466064453125E-07	3.936767578125E-07	-5.7098388671875E-07	1.44693217407621E-06	1554887.625	4.49295036730746E-08
3	172.168767565316	1.49490356445313	1.4947509765625	9.747314453125E-07	3.9642333984375E-07	-5.7830810546875E-07	1.45698072628875E-06	1533500.375	9.34143074005078E-08
4	172.218767565189	1.4898681640625	1.4898681640625	9.72595214843749E-07	3.93066406250001E-07	-5.79528808593749E-07	1.44903867749235E-06	1531848.125	1.42097476896197E-07
5	172.268767565063	1.48483276367188	1.48468017578125	9.6710205078125E-07	3.8787841796875E-07	-5.79223632812501E-07	1.43583713452244E-06	1535184.75	1.90589901194471E-07
6	172.318767564937	1.47979736328125	1.47979736328125	9.60693359375001E-07	3.80554199218749E-07	-5.80139160156251E-07	1.42163150940178E-06	1540343.125	2.38784792827573E-07
7	172.368767564811	1.47476196289063	1.474609375	9.5367431640625E-07	3.741455078125E-07	-5.7952880859375E-07	1.40629708766937E-06	1546240	2.86643967228883E-07
8	172.418767564684	1.4697265625	1.4697265625	9.46655273437499E-07	3.67126464843751E-07	-5.79528808593749E-07	1.39132430376776E-06	1552546.75	3.34152218783856E-07
9	172.468767564558	1.46469116210938	1.46484375	9.4024658203125E-07	3.60107421875E-07	-5.8013916015625E-07	1.37731422000797E-06	1557935.75	3.81324753107037E-07
10	172.518767564432	1.45965576171875	1.45965576171875	9.32922363281249E-07	3.53393554687501E-07	-5.79528808593749E-07	1.36174548970303E-06	1564605.875	4.28153981602009E-07
11	172.568767564306	1.45462036132813	1.45416259765625	9.2681884765625E-07	3.460693359375E-07	-5.80749511718749E-07	1.34774529669812E-06	1568982.625	4.74647521286897E-07
