Index	Forward.Time (s)	Potential applied (V)	WE(1).Forward.Potential (V)	WE(1).Forward.Current (A)	WE(1).Backward.Current (A)	WE(1).δ.Current (A)	WE(1).Forward.Power (W)	WE(1).Forward.Resistance (Ω)	WE(1).Forward.Charge (C)
1	237.407949400603	1.50001525878906	1.44805908203125	5.13916015625E-07	1.60858154296875E-06	-1.09466552734375E-06	7.44180738365685E-07	2817696	0
2	237.457949400476	1.49497985839844	1.4434814453125	2.72521972656251E-07	1.57501220703125E-06	-1.302490234375E-06	3.93380389596132E-07	5296753	1.96609484248711E-08
3	237.50794940035	1.48994445800781	1.43798828125	2.593994140625E-07	1.556396484375E-06	-1.2969970703125E-06	3.73013307353176E-07	5543529.5	3.29589830982968E-08
4	237.557949400224	1.48490905761719	1.4337158203125	2.56958007812499E-07	1.54083251953125E-06	-1.28387451171875E-06	3.68404755590745E-07	5579572.5	4.58679174641929E-08
5	237.607949400098	1.47987365722656	1.4288330078125	2.4871826171875E-07	1.52587890625E-06	-1.27716064453125E-06	3.55376869265456E-07	5744785	5.85098263172767E-08
6	237.657949399971	1.47483825683594	1.42364501953125	2.42919921875E-07	1.50970458984375E-06	-1.26678466796875E-06	3.45831750792058E-07	5860552.5	7.08007803496002E-08
7	237.707949399845	1.46980285644531	1.4178466796875	2.3651123046875E-07	1.49627685546875E-06	-1.259765625E-06	3.35336665102659E-07	5994839	8.27865562769148E-08
8	237.757949399719	1.46476745605469	1.41357421875	2.2857666015625E-07	1.48193359375E-06	-1.25335693359375E-06	3.23110072031341E-07	6184246	9.4413756812628E-08
9	237.807949399593	1.45973205566406	1.4080810546875	2.20947265625E-07	1.470947265625E-06	-1.25E-06	3.1111164844333E-07	6372928.5	1.05651849935384E-07
10	237.857949399466	1.45469665527344	1.40289306640625	2.11486816406251E-07	1.4593505859375E-06	-1.24786376953125E-06	2.96693372092705E-07	6633478	1.16462707921983E-07
11	237.90794939934	1.44966125488281	1.39801025390625	2.0172119140625E-07	1.44927978515625E-06	-1.24755859375E-06	2.82008301155656E-07	6930408.5	1.26792897958694E-07
12	237.957949399214	1.44462585449219	1.39373779296875	1.9256591796875E-07	1.44012451171875E-06	-1.24755859375E-06	2.68386372681562E-07	7237718.5	1.36650086801637E-07
13	238.007949399088	1.43959045410156	1.387939453125	1.8341064453125E-07	1.43096923828125E-06	-1.24755859375E-06	2.54562849022477E-07	7567388	1.4604950138164E-07
14	238.057949398961	1.43455505371094	1.3824462890625	1.7425537109375E-07	1.4227294921875E-06	-1.24847412109375E-06	2.40898685888169E-07	7933450.5	1.54991141698702E-07
15	238.107949398835	1.42951965332031	1.37725830078125	1.6204833984375E-07	1.4154052734375E-06	-1.25335693359375E-06	2.23182411218659E-07	8499059	1.63398738095566E-07
16	238.157949398709	1.42448425292969	1.3726806640625	1.5380859375E-07	1.40869140625E-06	-1.2548828125E-06	2.11130071647858E-07	8924604	1.7129515583747E-07
17	238.207949398583	1.41944885253906	1.368408203125	1.4190673828125E-07	1.40350341796875E-06	-1.2615966796875E-06	1.9418634167323E-07	9643011	1.7868804036425E-07
18	238.257949398457	1.41441345214844	1.3629150390625	1.33056640625E-07	1.3983154296875E-06	-1.2652587890625E-06	1.81344887550949E-07	10243120	1.85562129217942E-07
19	238.30794939833	1.40937805175781	1.357421875	1.202392578125E-07	1.39373779296875E-06	-1.27349853515625E-06	1.6321538964803E-07	11289341	1.918945287116E-07
20	238.357949398204	1.40434265136719	1.35284423828125	1.0986328125E-07	1.3885498046875E-06	-1.2786865234375E-06	1.48627904650311E-07	12313889	1.97647082700314E-07
21	238.407949398078	1.39930725097656	1.34796142578125	9.79614257812497E-08	1.38458251953125E-06	-1.28662109375E-06	1.32048228351778E-07	13760125	2.02842713292739E-07
22	238.457949397952	1.39427185058594	1.3427734375	8.75854492187494E-08	1.38153076171875E-06	-1.2939453125E-06	1.17607413585574E-07	15331011	2.07481377856311E-07
