Index	Forward.Time (s)	Potential applied (V)	WE(1).Forward.Potential (V)	WE(1).Forward.Current (A)	WE(1).Backward.Current (A)	WE(1).δ.Current (A)	WE(1).Forward.Power (W)	WE(1).Forward.Resistance (Ω)	WE(1).Forward.Charge (C)
1	208.031637474771	-0.499954223632813	-0.45001220703125	-3.863525390625E-07	-2.12127685546875E-06	1.73492431640625E-06	1.73863355712456E-07	1164771	0
2	208.081637474644	-0.494918823242188	-0.445159912109375	2.581787109375E-07	-1.9482421875E-06	2.2064208984375E-06	-1.14930813310821E-07	-1724231.625	-3.20434523359836E-09
3	208.131637474518	-0.489883422851563	-0.4400634765625	3.25927734375001E-07	-1.86126708984375E-06	2.18719482421875E-06	-1.43428877663609E-07	-1350187.375	1.13983151805996E-08
4	208.181637474392	-0.484848022460938	-0.435089111328125	3.497314453125E-07	-1.79931640625E-06	2.1490478515625E-06	-1.52164346900463E-07	-1244066.375	2.82897936187965E-08
5	208.231637474266	-0.479812622070313	-0.42999267578125	3.741455078125E-07	-1.74957275390625E-06	2.12371826171875E-06	-1.60879821464732E-07	-1149266	4.63867166899945E-08
6	208.281637474139	-0.474777221679688	-0.4248046875	3.90014648437501E-07	-1.70684814453125E-06	2.09686279296875E-06	-1.65680049235561E-07	-1089201.875	6.54907168495811E-08
7	208.331637474013	-0.469741821289063	-0.419769287109375	4.06799316406251E-07	-1.67144775390625E-06	2.0782470703125E-06	-1.70761850881718E-07	-1031883	8.54110666637098E-08
8	208.381637473887	-0.464706420898438	-0.4146728515625	4.2144775390625E-07	-1.6387939453125E-06	2.06024169921875E-06	-1.74762931237638E-07	-983924.75	1.06117241216452E-07
9	208.431637473761	-0.459671020507813	-0.4095458984375	4.364013671875E-07	-1.6131591796875E-06	2.049560546875E-06	-1.78726395461126E-07	-938461.5625	1.27563467344771E-07
10	208.481637473634	-0.454635620117188	-0.404510498046875	4.52270507812499E-07	-1.58660888671875E-06	2.03887939453125E-06	-1.82948156179918E-07	-894399.5	1.49780262859167E-07
11	208.531637473508	-0.449600219726563	-0.399658203125	4.681396484375E-07	-1.56585693359375E-06	2.03399658203125E-06	-1.87095849923935E-07	-853715.8125	1.72790521446586E-07
12	208.581637473382	-0.444564819335938	-0.394500732421875	4.803466796875E-07	-1.54541015625E-06	2.0257568359375E-06	-1.89497114888582E-07	-821283.375	1.96502682570099E-07
13	208.631637473256	-0.439529418945313	-0.389678955078125	4.93469238281249E-07	-1.52587890625E-06	2.01934814453125E-06	-1.92294564271833E-07	-789672.3125	2.20848079379721E-07
14	208.68163747313	-0.434494018554688	-0.38470458984375	5.084228515625E-07	-1.50787353515625E-06	2.01629638671875E-06	-1.95592591012428E-07	-756662.6875	2.45895364514581E-07
15	208.731637473003	-0.429458618164063	-0.379608154296875	5.2398681640625E-07	-1.49200439453125E-06	2.0159912109375E-06	-1.98909660298341E-07	-724461.3125	2.71705630439101E-07
16	208.781637472877	-0.424423217773438	-0.374664306640625	5.36499023437501E-07	-1.478271484375E-06	2.0147705078125E-06	-2.01007026134903E-07	-698350.4375	2.98217770478004E-07
17	208.831637472751	-0.419387817382813	-0.3695068359375	5.511474609375E-07	-1.4630126953125E-06	2.01416015625E-06	-2.0365274622236E-07	-670431.9375	3.25408933576909E-07
18	208.881637472625	-0.414352416992188	-0.3643798828125	5.6427001953125E-07	-1.44805908203125E-06	2.0123291015625E-06	-2.05608643000232E-07	-645754.5	3.53294353772071E-07
19	208.931637472498	-0.409317016601563	-0.359344482421875	5.74951171875E-07	-1.43707275390625E-06	2.01202392578125E-06	-2.06605534458504E-07	-625000	3.81774896140996E-07
20	208.981637472372	-0.404281616210938	-0.354278564453125	5.89904785156251E-07	-1.42333984375E-06	2.01324462890625E-06	-2.08990599048775E-07	-600569.125	4.10896291214158E-07
21	209.031637472246	-0.399246215820313	-0.349212646484375	6.03332519531249E-07	-1.41143798828125E-06	2.0147705078125E-06	-2.1069135414109E-07	-578806.25	4.4072720584154E-07
22	209.08163747212	-0.394210815429688	-0.344329833984375	6.1370849609375E-07	-1.39984130859375E-06	2.0135498046875E-06	-2.11318138099159E-07	-561064.125	4.71153242642686E-07
23	209.131637471993	-0.389175415039063	-0.33929443359375	6.29577636718751E-07	-1.39007568359375E-06	2.0196533203125E-06	-2.13612196375834E-07	-538923.875	5.02235423027741E-07
24	209.181637471867	-0.384140014648438	-0.334381103515625	6.40869140625E-07	-1.380615234375E-06	2.021484375E-06	-2.14294530564985E-07	-521761.90625	5.3399656962938E-07
25	209.231637471741	-0.379104614257813	-0.329345703125	6.573486328125E-07	-1.370849609375E-06	2.0281982421875E-06	-2.16494939309086E-07	-501021.375	5.66452001748985E-07
26	209.281637471615	-0.374069213867188	-0.32403564453125	6.67724609375001E-07	-1.36077880859375E-06	2.02850341796875E-06	-2.16366558447589E-07	-485283.375	5.99578811488755E-07
27	209.331637471488	-0.369033813476563	-0.3189697265625	6.8084716796875E-07	-1.35009765625E-06	2.03094482421875E-06	-2.171696280584E-07	-468489.46875	6.3329315480587E-07
28	209.381637471362	-0.363998413085938	-0.31402587890625	6.884765625E-07	-1.3397216796875E-06	2.0281982421875E-06	-2.16199438796139E-07	-456117.0625	6.67526251163508E-07
29	209.431637471236	-0.358963012695313	-0.308929443359375	7.0220947265625E-07	-1.3323974609375E-06	2.03460693359375E-06	-2.16933173646794E-07	-439939.1875	7.02293391441344E-07
