Potential - Start -0.2 V, Upper Vertex 1.5 V, Lower Vertex -0.2 V, Stop -0.19 V; Scan - # end cross 5, Rate 0.1 Vps, Step 0.01 V 
Scan	Index	Time (s)	Potential applied (V)	WE(1).Potential (V)	WE(1).Current (A)	WE(1).Power (W)	WE(1).Resistance (Ω)	WE(1).Charge (C)
1	1	66.1695768329379	-0.189971923828125	-0.189788818359375	-2.545166015625E-07	4.83044075849648E-08	745683.4375	0
1	2	66.2702848326836	-0.179901123046875	-0.17974853515625	-2.20642089843751E-07	3.96600903229682E-08	814661.1875	-2.39261410683866E-08
1	3	66.3709928324294	-0.169830322265625	-0.169708251953125	-1.94396972656249E-07	3.2990769227581E-08	872998.5	-4.48250148110674E-08
1	4	66.4717008321751	-0.159759521484375	-0.159637451171875	-1.71508789062499E-07	2.73792259974925E-08	930782.9375	-6.32498355912503E-08
1	5	66.5724088319208	-0.149688720703125	-0.14959716796875	-1.513671875E-07	2.26441034811842E-08	988306.4375	-7.95079344584337E-08
1	6	66.6731168316666	-0.139617919921875	-0.13946533203125	-1.324462890625E-07	1.84716650863948E-08	1052995.375	-9.37990733973493E-08
1	7	66.7738248314123	-0.129547119140625	-0.129425048828125	-1.13830566406251E-07	1.47325263100129E-08	1136997.375	-1.06200097604869E-07
1	8	66.874532831158	-0.119476318359375	-0.11944580078125	-9.58251953125003E-08	1.14459171030035E-08	1246496.875	-1.1675710709369E-07
1	9	66.9752408309038	-0.109405517578125	-0.10931396484375	-7.62939453125E-08	8.33999358462734E-09	1432800	-1.25423994745688E-07
1	10	67.0759488306495	-0.099334716796875	-0.099212646484375	-5.55419921874995E-08	5.51046808183742E-09	1786263.75	-1.32062453417348E-07
1	11	67.1766568303952	-0.089263916015625	-0.089202880859375	-3.14331054687506E-08	2.80392331575285E-09	2837864.25	-1.36441997256043E-07
1	12	67.277364830141	-0.079193115234375	-0.07916259765625	-1.52587890625E-09	1.20792528757185E-10	51880000	-1.38101626134812E-07
1	13	67.3780728298867	-0.069122314453125	-0.069061279296875	3.63159179687503E-08	-2.50802378864989E-09	-1901680.75	-1.3634979723065E-07
1	14	67.4787808296325	-0.059051513671875	-0.05902099609375	8.51440429687503E-08	-5.0252859651323E-09	-693190	-1.3023381484345E-07
1	15	67.5794888293782	-0.048980712890625	-0.04884033203125	1.495361328125E-07	-7.30339477783559E-09	-326612.25	-1.18416721761605E-07
1	16	67.6801968291239	-0.038909912109375	-0.0387969970703125	2.3651123046875E-07	-9.17592579696702E-09	-164038.71875	-9.89776935966802E-08
