Potential - Start -0.2 V, Upper Vertex 1.5 V, Lower Vertex -0.2 V, Stop -0.19 V; Scan - # end cross 5, Rate 0.1 Vps, Step 0.01 V 
Scan	Index	Time (s)	Potential applied (V)	WE(1).Potential (V)	WE(1).Current (A)	WE(1).Power (W)	WE(1).Resistance (Ω)	WE(1).Charge (C)
1	1	67.7315918289942	-0.189971923828125	-0.189788818359375	-1.4007568359375E-07	2.65847983627054E-08	1354902	0
1	2	67.8322998287399	-0.179901123046875	-0.17974853515625	-1.10473632812499E-07	1.98574721110845E-08	1627071.875	-1.26161596725183E-08
1	3	67.9330078284856	-0.169830322265625	-0.169677734375	-8.81958007812503E-08	1.49648631264654E-08	1923875.5	-2.26199610153799E-08
1	4	68.0337158282314	-0.159759521484375	-0.159698486328125	-6.92749023437495E-08	1.10630971050796E-08	2305286.25	-3.05492413588127E-08
1	5	68.1344238279771	-0.149688720703125	-0.149627685546875	-5.27954101562506E-08	7.89965426406525E-09	2834104.25	-3.66959689301893E-08
1	6	68.2351318277229	-0.139617919921875	-0.139495849609375	-3.814697265625E-08	5.32134425412778E-09	3656800	-4.12752818590434E-08
1	7	68.3358398274686	-0.129547119140625	-0.129425048828125	-2.41088867187503E-08	3.12029380111767E-09	5368354.5	-4.44101111440887E-08
1	8	68.4365478272143	-0.119476318359375	-0.11944580078125	-1.03759765625003E-08	1.23936683138481E-09	11511765	-4.61465639034486E-08
1	9	68.5372558269601	-0.109405517578125	-0.109283447265625	2.74658203125028E-09	-3.0015595564592E-10	-39788888	-4.6530733044392E-08
1	10	68.6379638267058	-0.099334716796875	-0.099273681640625	1.70898437499997E-08	-1.69657154991398E-09	-5808929	-4.5531891146311E-08
1	11	68.7386718264515	-0.089263916015625	-0.089111328125	3.08227539062497E-08	-2.74665645783045E-09	-2891089	-4.31193001304564E-08
1	12	68.8393798261973	-0.079193115234375	-0.07916259765625	4.76074218749997E-08	-3.76872710816656E-09	-1662820.5	-3.91700254454008E-08
1	13	68.940087825943	-0.069122314453125	-0.069122314453125	6.68334960937503E-08	-4.61968596709994E-09	-1034246.625	-3.34074670149676E-08
1	14	69.0407958256887	-0.059051513671875	-0.05902099609375	9.03320312499997E-08	-5.33148636350234E-09	-653378.375	-2.54935557109093E-08
1	15	69.1415038254345	-0.048980712890625	-0.0488372802734375	1.19934082031251E-07	-5.85725468127407E-09	-407201.03125	-1.49058152487669E-08
