Potential - Start 1.505 V, Stop -0.205 V, Step -0.005 V; Modulation - Amplitude -0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	165.387641582436	1.50497436523438	1.505126953125	9.46655273437499E-07	5.169677734375E-07	-4.29687499999999E-07	1.42483634135715E-06	1589942	0
2	165.43764158231	1.49993896484375	1.4996337890625	1.06414794921875E-06	5.4656982421875E-07	-5.17578125E-07	1.59583214554004E-06	1409234.375	5.02700778781673E-08
3	165.487641582184	1.49490356445313	1.49505615234375	1.0723876953125E-06	5.48706054687501E-07	-5.23681640625E-07	1.60327988396602E-06	1394137.75	1.03683468921645E-07
4	165.537641582058	1.4898681640625	1.4898681640625	1.07025146484375E-06	5.4473876953125E-07	-5.25512695312499E-07	1.59453350079275E-06	1392073	1.57249445464913E-07
5	165.587641581931	1.48483276367188	1.48468017578125	1.0650634765625E-06	5.38330078125E-07	-5.267333984375E-07	1.58127852500911E-06	1393982.875	2.10632322250603E-07
6	165.637641581805	1.47979736328125	1.47979736328125	1.05865478515625E-06	5.31005859375E-07	-5.2764892578125E-07	1.56659461936215E-06	1397809.125	2.63725269178394E-07
7	165.687641581679	1.47476196289063	1.47491455078125	1.05224609375E-06	5.230712890625E-07	-5.291748046875E-07	1.55197301410226E-06	1401682.25	3.16497789754067E-07
8	165.737641581553	1.4697265625	1.4691162109375	1.04522705078125E-06	5.1544189453125E-07	-5.2978515625E-07	1.53555993165355E-06	1405547.5	3.68934621519657E-07
9	165.787641581426	1.46469116210938	1.46484375	1.03912353515625E-06	5.0811767578125E-07	-5.31005859375E-07	1.52215352500207E-06	1409691.625	4.21043381493291E-07
10	165.8376415813	1.45965576171875	1.45904541015625	1.03240966796875E-06	4.99877929687501E-07	-5.3253173828125E-07	1.50633252360421E-06	1413242.75	4.72831715114808E-07
11	165.887641581174	1.45462036132813	1.455078125	1.02630615234375E-06	4.92248535156251E-07	-5.340576171875E-07	1.49335551213881E-06	1417781.75	5.24299593962496E-07
12	165.937641581048	1.4495849609375	1.4495849609375	1.02081298828125E-06	4.84619140625001E-07	-5.36193847656249E-07	1.47975515574217E-06	1420029.875	5.75477599795704E-07
13	165.987641580921	1.44454956054688	1.444091796875	1.01470947265625E-06	4.7760009765625E-07	-5.37109375E-07	1.46533363931667E-06	1423157.875	6.26365647349303E-07
14	166.037641580795	1.43951416015625	1.439208984375	1.009521484375E-06	4.69970703125E-07	-5.39550781250001E-07	1.45291244280088E-06	1425634.75	6.76971410484839E-07
15	166.087641580669	1.43447875976563	1.4349365234375	1.0040283203125E-06	4.62646484375E-07	-5.413818359375E-07	1.44071680097113E-06	1429179.375	7.27310180081986E-07
16	166.137641580543	1.429443359375	1.429443359375	9.991455078125E-07	4.5501708984375E-07	-5.44128417968751E-07	1.4282219353845E-06	1430665.875	7.77389516315452E-07
17	166.187641580417	1.42440795898438	1.42486572265625	9.9456787109375E-07	4.47998046875001E-07	-5.4656982421875E-07	1.41712553158868E-06	1432648.125	8.27232327083038E-07
18	166.23764158029	1.41937255859375	1.41937255859375	9.89685058593751E-07	4.40368652343751E-07	-5.4931640625E-07	1.40473184728762E-06	1434165.875	8.76838669228164E-07
19	166.287641580164	1.41433715820313	1.41448974609375	9.85107421875001E-07	4.3304443359375E-07	-5.5206298828125E-07	1.39342421334732E-06	1435873.75	9.26208485907409E-07
20	166.337641580038	1.4093017578125	1.40899658203125	9.80529785156251E-07	4.26025390625E-07	-5.54504394531251E-07	1.38156303819414E-06	1436974.875	9.75349394138902E-07
21	166.387641579912	1.40426635742188	1.40411376953125	9.7625732421875E-07	4.18701171874999E-07	-5.57556152343751E-07	1.37077631734428E-06	1438262	1.02426906778419E-06
22	166.437641579785	1.39923095703125	1.3995361328125	9.7198486328125E-07	4.11376953125001E-07	-5.60607910156249E-07	1.36032792852347E-06	1439874.5	1.0729751238614E-06
