Potential - Start -0.205 V, Stop 1.505 V, Step 0.005 V; Modulation - Amplitude 0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	139.063340648899	-0.204925537109375		-4.28161621093751E-07	5.48400878906249E-07	9.765625E-07	8.76889814094284E-08	478332.15625	0
2	139.113340648773	-0.19989013671875		-7.97424316406251E-07	5.047607421875E-07	1.30218505859375E-06	1.59251243303515E-07	250440.109375	-3.06396472637971E-08
3	139.163340648646	-0.194854736328125		-7.9986572265625E-07	5.1116943359375E-07	1.31103515625E-06	1.5580879164645E-07	243533.015625	-7.05719003235572E-08
4	139.21334064852	-0.1898193359375		-7.89489746093749E-07	5.24291992187501E-07	1.31378173828125E-06	1.4973994666434E-07	240239.671875	-1.10305784062348E-07
5	139.263340648394	-0.184783935546875		-7.77282714843749E-07	5.40771484374999E-07	1.31805419921875E-06	1.43558196441518E-07	237612.875	-1.49475098965013E-07
6	139.313340648268	-0.17974853515625		-7.647705078125E-07	5.5816650390625E-07	1.32293701171875E-06	1.3732633874497E-07	234796.484375	-1.88026419323251E-07
7	139.363340648141	-0.174713134765625		-7.53173828125001E-07	5.7647705078125E-07	1.32965087890625E-06	1.31520408785946E-07	231847.65625	-2.25975028911307E-07
8	139.413340648015	-0.169677734375		-7.4310302734375E-07	5.9539794921875E-07	1.3385009765625E-06	1.26019997992444E-07	228213.5625	-2.63381963350184E-07
9	139.463340647889	-0.164642333984375		-7.3455810546875E-07	6.17370605468751E-07	1.3519287109375E-06	1.20782445378609E-07	223847.109375	-3.00323478086284E-07
10	139.513340647763	-0.15960693359375		-7.2662353515625E-07	6.40869140625E-07	1.36749267578125E-06	1.15885448792596E-07	219487.625	-3.3685302014419E-07
11	139.563340647636	-0.154571533203125		-7.2052001953125E-07	6.6680908203125E-07	1.3873291015625E-06	1.11261940105578E-07	214315.96875	-3.73031610934049E-07
12	139.61334064751	-0.1495361328125		-7.1563720703125E-07	6.9580078125E-07	1.41143798828125E-06	1.06926265175389E-07	208784.640625	-4.08935534323973E-07
13	139.663340647384	-0.144500732421875		-7.1258544921875E-07	7.2906494140625E-07	1.441650390625E-06	1.02882125929682E-07	202612.4375	-4.44641102603782E-07
14	139.713340647258	-0.13946533203125		-7.1136474609375E-07	7.6568603515625E-07	1.47705078125E-06	9.91455948451403E-08	195924.5	-4.80239862099552E-07
15	139.763340647131	-0.134429931640625		-7.1319580078125E-07	8.0841064453125E-07	1.5216064453125E-06	9.57660333256172E-08	188275.5625	-5.15853855631576E-07
16	139.813340647005	-0.12939453125		-7.1624755859375E-07	8.575439453125E-07	1.57379150390625E-06	9.26129430922629E-08	180528.34375	-5.51589948827313E-07
17	139.863340646879	-0.124359130859375		-7.22656250000001E-07	9.1552734375E-07	1.63818359375E-06	8.98247947134223E-08	172001.6875	-5.87562567488931E-07
18	139.913340646753	-0.11932373046875		-7.32421875E-07	9.81750488281249E-07	1.71417236328125E-06	8.73282530733377E-08	162791.671875	-6.23939513388905E-07
19	139.963340646627	-0.114288330078125		-7.45239257812499E-07	1.058349609375E-06	1.8035888671875E-06	8.50811758823511E-08	153194.109375	-6.60881028125004E-07
20	140.0133406465	-0.1092529296875		-7.6263427734375E-07	1.146240234375E-06	1.90887451171875E-06	8.32967543829E-08	143217.28125	-6.98577878210926E-07
21	140.063340646374	-0.104217529296875		-7.8460693359375E-07	1.2481689453125E-06	2.03277587890625E-06	8.17219074633613E-08	132749.90625	-7.37258915251005E-07
