Potential - Start -0.205 V, Stop 1.505 V, Step 0.005 V; Modulation - Amplitude 0.05 V, Time 0.025 s, Interval time 0.05 s
Index	Base.Time (s)	Potential applied (V)	WE(1).Base.Potential (V)	WE(1).Base.Current (A)	WE(1).Pulse.Current (A)	WE(1).δ.Current (A)	WE(1).Base.Power (W)	WE(1).Base.Resistance (Ω)	WE(1).Base.Charge (C)
1	142.959392639062	-0.204925537109375		-3.5247802734375E-07	3.9703369140625E-07	7.4951171875E-07	7.22102342365361E-08	581212.125	0
2	143.009392638936	-0.19989013671875		-6.23168945312499E-07	3.643798828125E-07	9.87548828125E-07	1.24470233231477E-07	320519.09375	-2.43911735253732E-08
3	143.05939263881	-0.194854736328125		-6.2255859375E-07	3.6773681640625E-07	9.9029541015625E-07	1.21270488762093E-07	312892.1875	-5.55343611097214E-08
4	143.109392638684	-0.1898193359375		-6.121826171875E-07	3.76281738281251E-07	9.8846435546875E-07	1.16148044071451E-07	309920.25	-8.64028919522752E-08
5	143.159392638557	-0.184783935546875		-6.00585937500001E-07	3.857421875E-07	9.86328125000001E-07	1.10941968500811E-07	307571.15625	-1.16722105758527E-07
6	143.209392638431	-0.17974853515625		-5.889892578125E-07	3.955078125E-07	9.844970703125E-07	1.0578007447748E-07	304922.3125	-1.46461488270688E-07
7	143.259392638305	-0.174713134765625		-5.77697753906251E-07	4.0557861328125E-07	9.83276367187501E-07	1.0086085922012E-07	302218.71875	-1.75628656506888E-07
8	143.309392638179	-0.169677734375		-5.6732177734375E-07	4.1534423828125E-07	9.82666015625E-07	9.61926147624581E-08	298870.375	-2.04254135383053E-07
9	143.359392638052	-0.164642333984375		-5.5816650390625E-07	4.2572021484375E-07	9.8388671875E-07	9.18467364385833E-08	294805.90625	-2.32391343502059E-07
10	143.409392637926	-0.15960693359375		-5.4931640625E-07	4.364013671875E-07	9.857177734375E-07	8.75741221761928E-08	290222.25	-2.6007842279796E-07
11	143.4593926378	-0.154571533203125		-5.3985595703125E-07	4.46472167968751E-07	9.86328125000001E-07	8.33969338032148E-08	286150.375	-2.87307727830921E-07
12	143.509392637674	-0.1495361328125		-5.322265625E-07	4.5745849609375E-07	9.89685058593751E-07	7.95058880953547E-08	280676.625	-3.14109797727724E-07
13	143.559392637547	-0.144500732421875		-5.2490234375E-07	4.6875E-07	9.9365234375E-07	7.58327516336976E-08	275232.59375	-3.4053800845868E-07
14	143.609392637421	-0.13946533203125		-5.18798828125E-07	4.8065185546875E-07	9.9945068359375E-07	7.23069462083004E-08	268647.0625	-3.66630530379553E-07
15	143.659392637295	-0.134429931640625		-5.1239013671875E-07	4.93774414062501E-07	1.00616455078125E-06	6.88336569965031E-08	262179.875	-3.92410271388144E-07
16	143.709392637169	-0.12939453125		-5.0628662109375E-07	5.0811767578125E-07	1.014404296875E-06	6.54952643230899E-08	255515.390625	-4.17877174641035E-07
17	143.759392637042	-0.124359130859375		-5.023193359375E-07	5.230712890625E-07	1.025390625E-06	6.24220035660983E-08	247387.609375	-4.43092318391791E-07
18	143.809392636916	-0.11932373046875		-4.98352050781251E-07	5.40771484374999E-07	1.03912353515625E-06	5.94500164652345E-08	239375.375	-4.68109107032433E-07
19	143.85939263679	-0.114288330078125		-4.95300292968751E-07	5.5999755859375E-07	1.0552978515625E-06	5.65768125682098E-08	230622.296875	-4.92950448460761E-07
20	143.909392636664	-0.1092529296875		-4.931640625E-07	5.8135986328125E-07	1.07452392578125E-06	5.383446932683E-08	221349.015625	-5.17662044785538E-07
21	143.959392636537	-0.104217529296875		-4.925537109375E-07	6.06689453125001E-07	1.0992431640625E-06	5.13176949823446E-08	211524.171875	-5.42304974260333E-07
22	144.009392636411	-0.09918212890625		-4.93469238281249E-07	6.33850097656249E-07	1.1273193359375E-06	4.89282676596758E-08	200927.65625	-5.66955520753254E-07
23	144.059392636285	-0.094146728515625		-4.974365234375E-07	6.6680908203125E-07	1.16424560546875E-06	4.68016594368237E-08	189141.09375	-5.91728166909888E-07
24	144.109392636159	-0.089111328125		-5.0201416015625E-07	7.0556640625E-07	1.20758056640625E-06	4.47198260644655E-08	177446.8125	-6.16714430634602E-07
25	144.159392636033	-0.084075927734375		-5.084228515625E-07	7.51647949218751E-07	1.26007080078125E-06	4.27150901316509E-08	165246.109375	-6.41975361759251E-07
26	144.209392635906	-0.07904052734375		-5.1849365234375E-07	8.03527832031251E-07	1.322021484375E-06	4.09820124502858E-08	152442.609375	-6.67648293983802E-07
27	144.25939263578	-0.074005126953125		-5.30395507812501E-07	8.66088867187501E-07	1.396484375E-06	3.91872383431746E-08	139298.046875	-6.93870504164806E-07
28	144.309392635654	-0.0689697265625		-5.45654296875001E-07	9.37499999999999E-07	1.483154296875E-06	3.76336295460078E-08	126398.2109375	-7.20771765827521E-07
29	144.359392635528	-0.063934326171875		-5.65185546875E-07	1.021728515625E-06	1.5869140625E-06	3.60830121337585E-08	112958.96875	-7.48542788642226E-07
30	144.409392635401	-0.05889892578125		-5.8929443359375E-07	1.1181640625E-06	1.70745849609375E-06	3.47267921085859E-08	100000	-7.77404750351707E-07
31	144.459392635275	-0.053863525390625		-6.182861328125E-07	1.22894287109375E-06	1.84722900390625E-06	3.32841985084542E-08	87068.1171875	-8.07594290108682E-07
32	144.509392635149	-0.048828125		-6.50634765624999E-07	1.356201171875E-06	2.0068359375E-06	3.16481560957982E-08	74760.7890625	-8.39317294776265E-07
33	144.559392635023	-0.043792724609375		-6.9305419921875E-07	1.500244140625E-06	2.19329833984375E-06	3.02661291584627E-08	63011.890625	-8.72909538429667E-07
34	144.609392634896	-0.03875732421875		-7.4005126953125E-07	1.66107177734375E-06	2.401123046875E-06	2.85627059781746E-08	52152.578125	-9.0873714952977E-07
35	144.65939263477	-0.033721923828125		-7.9315185546875E-07	1.8402099609375E-06	2.63336181640625E-06	2.66449458052875E-08	42354.75390625	-9.47067235301802E-07
36	144.709392634644	-0.0286865234375		-8.52355957031251E-07	2.037353515625E-06	2.88970947265625E-06	2.43444802094928E-08	33508.7734375	-9.88204874374787E-07
37	144.759392634518	-0.023651123046875		-9.173583984375E-07	2.2509765625E-06	3.1683349609375E-06	2.15705746597905E-08	25632.0703125	-1.03244781257672E-06
38	144.809392634391	-0.01861572265625		-9.86633300781251E-07	2.47833251953125E-06	3.4649658203125E-06	1.82855952601813E-08	18784.41015625	-1.08004758203606E-06
39	144.859392634265	-0.013580322265625		-1.05865478515625E-06	2.71820068359375E-06	3.77685546875E-06	1.42314888762485E-08	12698.18359375	-1.13117982891708E-06
40	144.909392634139	-0.008544921875		-1.13189697265625E-06	2.96844482421875E-06	4.100341796875E-06	9.55452605921892E-09	7457.5361328125	-1.18594357445545E-06
41	144.959392634013	-0.003509521484375		-1.2030029296875E-06	3.22357177734375E-06	4.42657470703125E-06	4.08245570682197E-09	2820.90307617188	-1.24431608128361E-06
42	145.009392633886	0.00152587890625		-1.268310546875E-06	3.482666015625E-06	4.7509765625E-06	-2.08624073572139E-09	-1296.92016601563	-1.30609885218291E-06
43	145.05939263376	0.006561279296875		-1.31927490234375E-06	3.73504638671875E-06	5.0543212890625E-06	-8.76483507994408E-09	-5035.85498046875	-1.37078848183592E-06
44	145.109392633634	0.0115966796875		-1.36138916015625E-06	3.97735595703125E-06	5.3387451171875E-06	-1.59537787425279E-08	-8607.935546875	-1.43780516737024E-06
45	145.159392633508	0.016632080078125		-1.38885498046875E-06	4.2022705078125E-06	5.59112548828125E-06	-2.3226698786516E-08	-12041.310546875	-1.50656126152171E-06
46	145.209392633382	0.02166748046875		-1.397705078125E-06	4.40673828125E-06	5.804443359375E-06	-3.03700566917087E-08	-15545.8515625	-1.57622525875922E-06
47	145.259392633255	0.026702880859375		-1.38427734375E-06	4.5867919921875E-06	5.9710693359375E-06	-3.71078243688316E-08	-19365.080078125	-1.64577477335115E-06
48	145.309392633129	0.03173828125		-1.35009765625E-06	4.736328125E-06	6.08642578125E-06	-4.29362998488614E-08	-23555.60546875	-1.71413421412581E-06
49	145.359392633003	0.036773681640625		-1.29302978515625E-06	4.8492431640625E-06	6.14227294921875E-06	-4.7612598308433E-08	-28477.697265625	-1.7802123011279E-06
50	145.409392632877	0.04180908203125		-1.21490478515625E-06	4.91943359375E-06	6.13433837890625E-06	-5.09164053141831E-08	-34496.359375	-1.84291070581821E-06
51	145.45939263275	0.046844482421875		-1.116943359375E-06	4.949951171875E-06	6.06689453125E-06	-5.24044381222666E-08	-42005.46875	-1.90120692877827E-06
52	145.509392632624	0.0518798828125		-1.005859375E-06	4.9407958984375E-06	5.9466552734375E-06	-5.22759506793591E-08	-51668.69140625	-1.95427696780825E-06
53	145.559392632498	0.056915283203125		-8.7249755859375E-07	4.8858642578125E-06	5.75836181640625E-06	-4.97116978692702E-08	-65302.5546875	-2.00123599825019E-06
54	145.609392632372	0.06195068359375		-7.30285644531251E-07	4.7943115234375E-06	5.52459716796875E-06	-4.52416948348855E-08	-84830.7578125	-2.04130537895253E-06
55	145.659392632245	0.066986083984375		-5.79223632812501E-07	4.669189453125E-06	5.2484130859375E-06	-3.88352745517295E-08	-115753.421875	-2.0740430954902E-06
56	145.709392632119	0.072021484375		-4.2388916015625E-07	4.5166015625E-06	4.94049072265625E-06	-3.0555000307686E-08	-170050.390625	-2.09912104764953E-06
57	145.759392631993	0.077056884765625		-2.6580810546875E-07	4.339599609375E-06	4.60540771484375E-06	-2.04904555545227E-08	-290011.5	-2.11636347557942E-06
58	145.809392631867	0.08209228515625		-1.080322265625E-07	4.15283203125E-06	4.2608642578125E-06	-8.87850326591888E-09	-760734.5	-2.12570944313484E-06
59	145.85939263174	0.087127685546875		4.51660156250006E-08	3.95782470703125E-06	3.91265869140625E-06	3.93934529441253E-09	1931081.125	-2.1272810499795E-06
60	145.909392631614	0.0921630859375		1.89819335937499E-07	3.76251220703125E-06	3.57269287109375E-06	1.75059202689454E-08	485852.09375	-2.12140639632707E-06
61	145.959392631488	0.097198486328125		3.2501220703125E-07	3.57147216796875E-06	3.2464599609375E-06	3.16006136813485E-08	299154.9375	-2.10853568205494E-06
62	146.009392631362	0.10223388671875		4.4891357421875E-07	3.38897705078125E-06	2.9400634765625E-06	4.59215776515975E-08	227872.203125	-2.08918754651677E-06
63	146.059392631235	0.107269287109375		5.59387207031251E-07	3.2171630859375E-06	2.65777587890625E-06	5.99879967921879E-08	191707.578125	-2.06397999136243E-06
64	146.109392631109	0.1123046875		6.5582275390625E-07	3.0572509765625E-06	2.40142822265625E-06	7.36920000576902E-08	171335.5	-2.03359968509176E-06
65	146.159392630983	0.117340087890625		7.3883056640625E-07	2.91015625E-06	2.17132568359375E-06	8.67846310370624E-08	158983.90625	-1.99873352357827E-06
66	146.209392630857	0.12237548828125		8.087158203125E-07	2.7764892578125E-06	1.9677734375E-06	9.90163542269329E-08	151396.234375	-1.96004475583322E-06
67	146.259392630731	0.127410888671875		8.66088867187501E-07	2.65625E-06	1.7901611328125E-06	1.10349148485511E-07	147110.640625	-1.91817457562138E-06
68	146.309392630604	0.1324462890625		9.11865234375001E-07	2.54730224609375E-06	1.63543701171875E-06	1.20800990544012E-07	145281.125	-1.87372586424317E-06
69	146.359392630478	0.137481689453125		9.48181152343749E-07	2.449951171875E-06	1.50177001953125E-06	1.30386482055656E-07	145027.359375	-1.82722465069673E-06
70	146.409392630352	0.14251708984375		9.7564697265625E-07	2.36236572265625E-06	1.38671875E-06	1.39046363756279E-07	146074.453125	-1.77912897925125E-06
71	146.459392630226	0.147552490234375		9.9517822265625E-07	2.28363037109375E-06	1.2884521484375E-06	1.46871386164094E-07	148298.078125	-1.72985835433792E-06
72	146.509392630099	0.152587890625		1.00799560546875E-06	2.213134765625E-06	1.20513916015625E-06	1.53838684013863E-07	151407.8125	-1.67977896126104E-06
73	146.559392629973	0.157623291015625		1.0162353515625E-06	2.14996337890625E-06	1.13372802734375E-06	1.6018235271531E-07	155105.109375	-1.6291731981255E-06
74	146.609392629847	0.16265869140625		1.01959228515625E-06	2.09259033203125E-06	1.072998046875E-06	1.65814427077748E-07	159503.15625	-1.57827753355377E-06
75	146.659392629721	0.167694091796875		1.019287109375E-06	2.04193115234375E-06	1.02264404296875E-06	1.70928416309835E-07	164520.96875	-1.52730558511394E-06
76	146.709392629594	0.1727294921875		1.01837158203125E-06	1.99615478515625E-06	9.77783203125E-07	1.75902798105199E-07	169613.421875	-1.47636410474661E-06
77	146.759392629468	0.177764892578125		1.01409912109375E-06	1.95404052734375E-06	9.3994140625E-07	1.80333117327791E-07	175353.59375	-1.42555234106112E-06
78	146.809392629342	0.18280029296875		1.00830078125E-06	1.9158935546875E-06	9.075927734375E-07	1.84317670459677E-07	181295.40625	-1.37499228003435E-06
79	146.859392629216	0.187835693359375		1.00128173828125E-06	1.88140869140625E-06	8.80126953125E-07	1.8804588819421E-07	187564.78125	-1.32475281588995E-06
80	146.909392629089	0.19287109375		9.9334716796875E-07	1.84906005859375E-06	8.55712890625E-07	1.91557631978867E-07	194132.109375	-1.27488704038115E-06
81	146.959392628963	0.197906494140625		9.844970703125E-07	1.81915283203125E-06	8.3465576171875E-07	1.94898461813864E-07	201084.9375	-1.22544088299037E-06
82	147.009392628837	0.20294189453125		9.7564697265625E-07	1.79290771484375E-06	8.17260742187501E-07	1.97999639794944E-07	208007.515625	-1.17643730845884E-06
83	147.059392628711	0.207977294921875		9.674072265625E-07	1.76788330078125E-06	8.00476074218751E-07	2.01198744775866E-07	214984.21875	-1.12786096906348E-06
84	147.109392628584	0.2130126953125		9.5855712890625E-07	1.744384765625E-06	7.8582763671875E-07	2.04184814833752E-07	222222.234375	-1.07971186480427E-06
85	147.159392628458	0.218048095703125		9.4940185546875E-07	1.72271728515625E-06	7.733154296875E-07	2.06986285888888E-07	229636.78125	-1.0320128467356E-06
86	147.209392628332	0.22308349609375		9.40551757812499E-07	1.70166015625E-06	7.611083984375E-07	2.09792858640867E-07	237151.203125	-9.84764028544305E-07
87	147.259392628206	0.228118896484375		9.320068359375E-07	1.68243408203125E-06	7.5042724609375E-07	2.12608355809607E-07	244760.984375	-9.37950119350717E-07
88	147.30939262808	0.233154296875		9.2376708984375E-07	1.66473388671875E-06	7.40966796875001E-07	2.15380254076081E-07	252395.125	-8.9155577143174E-07
89	147.359392627953	0.238189697265625		9.1522216796875E-07	1.646728515625E-06	7.3150634765625E-07	2.1802441096952E-07	260286.765625	-8.45581041630794E-07
90	147.409392627827	0.24322509765625		9.0789794921875E-07	1.63116455078125E-06	7.232666015625E-07	2.20878973777872E-07	267966.40625	-8.00003022050078E-07
91	147.459392627701	0.248260498046875		9.0057373046875E-07	1.61529541015625E-06	7.14721679687501E-07	2.23576876123843E-07	275669.28125	-7.54791244617081E-07
92	147.509392627575	0.2532958984375		8.929443359375E-07	1.60003662109375E-06	7.07092285156251E-07	2.26179125206727E-07	283663.71875	-7.09953269506514E-07
93	147.559392627448	0.258331298828125		8.8653564453125E-07	1.585693359375E-06	6.9915771484375E-07	2.28992846018627E-07	291359.71875	-6.65466302507411E-07
94	147.609392627322	0.26336669921875		8.80126953125E-07	1.573486328125E-06	6.93359374999999E-07	2.31822994578579E-07	299271.84375	-6.21299705017009E-07
95	147.659392627196	0.268402099609375		8.740234375E-07	1.56005859375E-06	6.86035156249999E-07	2.3456306053049E-07	307053.0625	-5.77445973704016E-07
96	147.70939262707	0.2734375		8.67309570312499E-07	1.5472412109375E-06	6.79931640625001E-07	2.37154949900287E-07	315270.9375	-5.33912611899723E-07
97	147.759392626943	0.278472900390625		8.61511230468751E-07	1.53564453125E-06	6.74133300781249E-07	2.39854927031047E-07	323166.875	-4.90692116272839E-07
98	147.809392626817	0.28350830078125		8.5601806640625E-07	1.524658203125E-06	6.6864013671875E-07	2.42714349951711E-07	331229.9375	-4.47753876642309E-07
99	147.859392626691	0.288543701171875		8.502197265625E-07	1.51397705078125E-06	6.6375732421875E-07	2.45351486682921E-07	339411.34375	-4.05097949851552E-07
100	147.909392626565	0.2935791015625		8.4564208984375E-07	1.50299072265625E-06	6.573486328125E-07	2.48211222242389E-07	347094.90625	-3.62701399581056E-07
101	147.959392626438	0.298614501953125		8.404541015625E-07	1.49322509765625E-06	6.5277099609375E-07	2.50997430839561E-07	355337.6875	-3.20548991794567E-07
102	148.009392626312	0.30364990234375		8.349609375E-07	1.4837646484375E-06	6.488037109375E-07	2.53484842005491E-07	363596.5	-2.78663605968177E-07
103	148.059392626186	0.308685302734375		8.3038330078125E-07	1.474609375E-06	6.4422607421875E-07	2.56276422305746E-07	371664.84375	-2.37030008065631E-07
104	148.10939262606	0.313720703125		8.26110839843749E-07	1.466064453125E-06	6.39953613281251E-07	2.59168075444904E-07	379756.1875	-1.95617658960145E-07
105	148.159392625933	0.318756103515625		8.21533203124999E-07	1.45721435546875E-06	6.35681152343751E-07	2.61868734696691E-07	388001.5	-1.54426558651721E-07
106	148.209392625807	0.32379150390625		8.17260742187501E-07	1.44927978515625E-06	6.3201904296875E-07	2.64622087797761E-07	396191.1875	-1.13456707140358E-07
107	148.259392625681	0.328826904296875		8.1329345703125E-07	1.441650390625E-06	6.2835693359375E-07	2.67457579639085E-07	404352.75	-7.26928561789464E-08
108	148.309392625555	0.3338623046875		8.09326171875E-07	1.434326171875E-06	6.25E-07	2.70203486252285E-07	412518.875	-3.21273674330769E-08
109	148.359392625429	0.338897705078125		8.05053710937501E-07	1.42730712890625E-06	6.22253417968749E-07	2.72855402272398E-07	421000.78125	8.23212875644685E-09
110	148.409392625302	0.34393310546875		8.0108642578125E-07	1.4208984375E-06	6.1981201171875E-07	2.75471251143244E-07	429257.15625	4.83856297250895E-08
111	148.459392625176	0.348968505859375		7.97119140624999E-07	1.41510009765625E-06	6.1798095703125E-07	2.78218124094565E-07	437863.71875	8.83407693663685E-08
